Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,Amalgamate,1774505119.870368,933,4,1
3,DepositChecking,1774505119.882404,865,8,1
1,Amalgamate,1774505119.892250,993,7,1
5,TransactSavings,1774505119.900371,849,9,1
5,TransactSavings,1774505119.912493,913,11,1
1,Amalgamate,1774505119.920720,996,12,1
4,SendPayment,1774505119.930387,1012,16,1
2,Balance,1774505119.941479,931,10,1
1,Amalgamate,1774505119.950376,891,14,1
6,WriteCheck,1774505119.961453,903,13,1
3,DepositChecking,1774505119.972365,848,17,1
2,Balance,1774505119.981589,865,18,1
4,SendPayment,1774505119.990446,827,15,1
3,DepositChecking,1774505120.001392,990,19,1
4,SendPayment,1774505120.010558,511,3,1
4,SendPayment,1774505120.020361,477,6,1
1,Amalgamate,1774505120.030351,469,0,1
2,Balance,1774505120.040350,587,1,1
5,TransactSavings,1774505120.050354,408,2,1
6,WriteCheck,1774505120.062701,377,5,1
2,Balance,1774505120.070316,359,4,1
